feature,contrast,estimate,CI 2.5%,CI 97.5%,t,p,d
pitch,LC - IC,-62.15,-79.68,-44.61,-8.52,0,-1.92
pitch,LC - HC,-78.38,-95.92,-60.85,-10.75,0,-2.42
pitch,IC - HC,-16.24,-33.77,1.3,-2.23,0.08,-0.5
intensity,LC - IC,-24.41,-41.95,-6.88,-3.35,0,-0.75
intensity,LC - HC,-13.15,-30.68,4.39,-1.8,0.22,-0.41
intensity,IC - HC,11.26,-6.27,28.8,1.55,0.37,0.35
timbre,LC - IC,-24.76,-42.3,-7.23,-3.4,0,-0.76
timbre,LC - HC,-16.38,-33.92,1.15,-2.25,0.08,-0.51
timbre,IC - HC,8.38,-9.15,25.92,1.15,0.75,0.26
location,LC - IC,1.47,-16.06,19,0.2,1,0.05
location,LC - HC,1,-16.53,18.53,0.14,1,0.03
location,IC - HC,-0.47,-18,17.06,-0.06,1,-0.01
