contrast;condition;feature;group;estimate;CI 2.5%;CI 97.5%;t;p
MMN_standard - MMN_deviant;hihat;intensity;amusics;0.45;-0.31;1.21;1.16;0.246799
MMN_standard - MMN_deviant;optimal;intensity;amusics;3.6;2.84;4.36;9.3;0
MMN_standard - MMN_deviant;hihat;location;amusics;1.3;0.54;2.06;3.36;0.000853
MMN_standard - MMN_deviant;optimal;location;amusics;3.6;2.83;4.36;9.29;0
MMN_standard - MMN_deviant;hihat;timbre;amusics;2.24;1.48;3;5.78;0
MMN_standard - MMN_deviant;optimal;timbre;amusics;3.05;2.28;3.81;7.86;0
MMN_standard - MMN_deviant;hihat;intensity;controls;0.93;0.17;1.7;2.41;0.016279
MMN_standard - MMN_deviant;optimal;intensity;controls;3.98;3.21;4.74;10.26;0
MMN_standard - MMN_deviant;hihat;location;controls;0.6;-0.16;1.36;1.55;0.121179
MMN_standard - MMN_deviant;optimal;location;controls;3.38;2.62;4.14;8.73;0
MMN_standard - MMN_deviant;hihat;timbre;controls;1.67;0.91;2.44;4.32;2e-05
MMN_standard - MMN_deviant;optimal;timbre;controls;3.04;2.28;3.81;7.86;0
